Job title,Hourly rate range,Annual openings (BLS)
Machine learning engineer,$10 – $200,"40,300"
Cybersecurity developer,$10 – $200,"182,800"
AI or prompt engineer,$10 – $200,"40,300"
Financial consultant,$10 – $200,"326,000"
Blockchain developer,$10 – $200,"1,895,500"
Business consultant,$10 – $200,"1,075,100"
Photographer,$10 – $200,"151,200"
UX designer,$10 – $200,"214,900"
Media buyer or planner,$10 – $200,"434,000"
Data analyst,$10 – $200,"112,100"
Technical writer,$10 – $200,"56,400"
Copywriter,$10 – $200,"135,400"
Project manager,$10 – $200,"1,046,300"
Public relations manager,$10 – $200,"128,900"
Mobile app developer,$10 – $200,"1,895,500"
Web developer,$10 – $200,"214,900"
Digital marketing consultant,$10 – $200,"434,000"
Editor or proofreader,$10 – $200,"115,800"
SEO specialist,$10 – $200,"941,700"
IT support specialist,$10 – $200,"882,300"
Web designer,$10 – $200,"214,900"
Programmer,$10 – $200,"121,200"
Social media manager,$10 – $200,"434,000"
Accountant,$10 – $200,"1,579,800"
Videographer,$10 – $200,"79,900"
Virtual assistant,$10 – $200,"3,453,100"
